ProcessID,ProcessName,CaseID,CaseName,Domain,OwnerRole,OwnerName,Region,PlantID,BusinessPartner,CurrentStage,StartDate,TargetDate,ActualOrForecastDate,TargetCycleDays,ActualCycleDays,SlaBreached,RootCause,RevenueValue,RiskScore,ActionRequired
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00026,Revenue Contract,Finance,Revenue Process Owner,Priya Rao,EMEA,DE10,Summit Supply,Fulfilled,2026-01-09,2026-01-19,2026-01-23,10,14,True,Capacity constraint,560397.97,56,True
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00027,Revenue Contract,Finance,Revenue Process Owner,Alex Chen,APAC,US10,Summit Supply,Contract Effective,2026-03-16,2026-03-30,2026-04-03,14,18,True,Supplier delay,637076.44,48,True
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00028,Revenue Contract,Finance,Revenue Process Owner,Nina Patel,APAC,PL10,Summit Supply,Billing Data Complete,2025-05-05,2025-05-15,2025-05-11,10,6,False,Pricing exception,604474.88,6,True
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00029,Revenue Contract,Finance,Revenue Process Owner,Kenji Tanaka,APAC,US10,Meyer Metals,Fulfilled,2025-02-15,2025-02-22,2025-02-26,7,11,True,Supplier delay,71980.66,70,True
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00030,Revenue Contract,Finance,Revenue Process Owner,Jon Miller,APAC,DE20,Pacific Electronics,Contract Effective,2025-07-25,2025-08-24,2025-08-23,30,29,False,Supplier delay,351471.91,76,False
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00031,Revenue Contract,Finance,Revenue Process Owner,Alex Chen,APAC,DE20,Euro Logistics,Revenue Recognized,2025-09-06,2025-09-09,2025-09-11,3,5,True,Capacity constraint,740020.31,26,True
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00032,Revenue Contract,Finance,Revenue Process Owner,Priya Rao,APAC,DE10,Summit Supply,Contract Effective,2025-01-16,2025-01-19,2025-01-20,3,4,True,Quality hold,250468.67,74,True
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00033,Revenue Contract,Finance,Revenue Process Owner,Nina Patel,EMEA,US10,Euro Logistics,Revenue Recognized,2026-03-16,2026-03-21,2026-03-19,5,3,False,,55251.11,93,True
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00034,Revenue Contract,Finance,Revenue Process Owner,Alex Chen,APAC,DE10,Meyer Metals,Billed,2026-01-20,2026-01-25,2026-01-23,5,3,False,,522137.62,66,False
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00035,Revenue Contract,Finance,Revenue Process Owner,Jon Miller,EMEA,US10,Summit Supply,Billed,2025-03-12,2025-03-26,2025-04-12,14,31,True,Quality hold,78990.6,91,True
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00036,Revenue Contract,Finance,Revenue Process Owner,Alex Chen,EMEA,DE20,Euro Logistics,Billed,2026-02-01,2026-02-04,2026-02-04,3,3,False,,747715.33,21,False
