ProcessID,ProcessName,CaseID,CaseName,Domain,OwnerRole,OwnerName,Region,PlantID,BusinessPartner,CurrentStage,StartDate,TargetDate,ActualOrForecastDate,TargetCycleDays,ActualCycleDays,SlaBreached,RootCause,RiskExposure,RiskScore,ActionRequired
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00011,Supplier Onboarding,Procurement,Supplier Risk Process Owner,Nina Patel,AMER,PL10,Euro Logistics,Audit Completed,2025-04-30,2025-05-30,2025-06-01,30,32,True,Missing master data,586812.83,35,True
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00012,Supplier Onboarding,Procurement,Supplier Risk Process Owner,Priya Rao,EMEA,SG10,Euro Logistics,Supplier Invited,2025-06-26,2025-07-10,2025-07-13,14,17,True,Missing master data,699648.42,33,True
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00013,Supplier Onboarding,Procurement,Supplier Risk Process Owner,Maria Garcia,AMER,PL10,Pacific Electronics,Supplier Activated,2025-12-13,2025-12-18,2025-12-23,5,10,True,System integration gap,738071.44,11,True
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00014,Supplier Onboarding,Procurement,Supplier Risk Process Owner,Sara Novak,EMEA,US10,Euro Logistics,Supplier Activated,2025-11-25,2025-12-05,2025-12-02,10,7,False,Supplier delay,452031.96,87,False
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00015,Supplier Onboarding,Procurement,Supplier Risk Process Owner,Kenji Tanaka,AMER,US10,Pacific Electronics,Supplier Invited,2025-09-15,2025-09-22,2025-09-25,7,10,True,Supplier delay,563634.21,51,True
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00016,Supplier Onboarding,Procurement,Supplier Risk Process Owner,Thomas Weber,EMEA,SG10,Summit Supply,Supplier Activated,2025-11-16,2025-11-30,2025-12-04,14,18,True,Capacity constraint,438879.32,20,True
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00017,Supplier Onboarding,Procurement,Supplier Risk Process Owner,Nina Patel,EMEA,SG10,Euro Logistics,Risk Approved,2026-01-09,2026-02-08,2026-02-17,30,39,True,Missing master data,480515.75,35,True
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00018,Supplier Onboarding,Procurement,Supplier Risk Process Owner,Maria Garcia,AMER,PL10,Pacific Electronics,Documents Submitted,2025-11-17,2025-11-22,2025-11-25,5,8,True,Approval delay,158137.04,73,True
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00019,Supplier Onboarding,Procurement,Supplier Risk Process Owner,Nina Patel,APAC,DE20,Pacific Electronics,Supplier Invited,2025-12-31,2026-01-10,2026-01-07,10,7,False,,426761.24,16,False
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00020,Supplier Onboarding,Procurement,Supplier Risk Process Owner,Kenji Tanaka,AMER,US10,Summit Supply,Supplier Activated,2025-06-30,2025-07-05,2025-07-04,5,4,False,,735047.73,71,False
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00021,Supplier Onboarding,Procurement,Supplier Risk Process Owner,Jon Miller,EMEA,PL10,Pacific Electronics,Supplier Activated,2025-03-23,2025-03-26,2025-03-26,3,3,False,,713878.3,6,False
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00022,Supplier Onboarding,Procurement,Supplier Risk Process Owner,Kenji Tanaka,AMER,SG10,Euro Logistics,Documents Submitted,2026-01-31,2026-02-03,2026-02-02,3,2,False,Capacity constraint,498711.9,41,False
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00023,Supplier Onboarding,Procurement,Supplier Risk Process Owner,Sara Novak,APAC,SG10,Euro Logistics,Supplier Activated,2025-11-18,2025-12-18,2026-01-03,30,46,True,Quality hold,276822.6,96,True
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00024,Supplier Onboarding,Procurement,Supplier Risk Process Owner,Alex Chen,EMEA,US10,Summit Supply,Supplier Activated,2025-02-14,2025-03-07,2025-03-20,21,34,True,Quality hold,102182.37,90,True
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00025,Supplier Onboarding,Procurement,Supplier Risk Process Owner,Maria Garcia,APAC,US10,Euro Logistics,Audit Completed,2025-03-22,2025-04-21,2025-05-05,30,44,True,Capacity constraint,516182.6,61,True
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00026,Supplier Onboarding,Procurement,Supplier Risk Process Owner,Jon Miller,EMEA,DE20,Zenith Precision,Supplier Invited,2025-12-14,2025-12-21,2025-12-23,7,9,True,System integration gap,554014.23,99,True
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00027,Supplier Onboarding,Procurement,Supplier Risk Process Owner,Thomas Weber,APAC,SG10,Zenith Precision,Supplier Invited,2025-08-04,2025-08-11,2025-08-13,7,9,True,Capacity constraint,551185.62,9,True
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00028,Supplier Onboarding,Procurement,Supplier Risk Process Owner,Thomas Weber,AMER,DE20,Euro Logistics,Risk Approved,2026-03-23,2026-03-28,2026-03-26,5,3,False,,207671.32,51,False
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00029,Supplier Onboarding,Procurement,Supplier Risk Process Owner,Nina Patel,EMEA,DE20,Summit Supply,Documents Submitted,2025-09-30,2025-10-07,2025-10-10,7,10,True,Approval delay,452030.81,9,True
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00030,Supplier Onboarding,Procurement,Supplier Risk Process Owner,Nina Patel,AMER,DE20,Summit Supply,Documents Submitted,2025-05-04,2025-05-11,2025-05-08,7,4,False,,524970.62,62,False
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00031,Supplier Onboarding,Procurement,Supplier Risk Process Owner,Jon Miller,AMER,DE20,Pacific Electronics,Risk Approved,2025-06-10,2025-06-24,2025-06-15,14,5,False,,739275.05,100,False
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00032,Supplier Onboarding,Procurement,Supplier Risk Process Owner,Thomas Weber,APAC,PL10,Pacific Electronics,Audit Completed,2025-10-12,2025-10-22,2025-10-21,10,9,False,,568622.36,61,False
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00033,Supplier Onboarding,Procurement,Supplier Risk Process Owner,Sara Novak,APAC,SG10,Meyer Metals,Risk Approved,2025-03-14,2025-03-24,2025-03-16,10,2,False,,625641.47,51,False
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00034,Supplier Onboarding,Procurement,Supplier Risk Process Owner,Nina Patel,APAC,PL10,Meyer Metals,Risk Approved,2026-02-02,2026-03-04,2026-03-16,30,42,True,Quality hold,346061.72,30,True
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00035,Supplier Onboarding,Procurement,Supplier Risk Process Owner,Nina Patel,APAC,US10,Zenith Precision,Risk Approved,2025-10-26,2025-11-02,2025-10-29,7,3,False,,597745.23,58,False
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00036,Supplier Onboarding,Procurement,Supplier Risk Process Owner,Jon Miller,AMER,DE20,Pacific Electronics,Risk Approved,2025-04-04,2025-04-07,2025-04-07,3,3,False,,292990.38,42,False
