CapabilityID,CapabilityName,CapabilityType,Contract,Recipe,Evidence
measure_benchmark_engine,Measure Benchmark Engine,dax-performance,outputs/powerbi-premium-usp-layer/capabilities/measure_benchmark_engine/premium_contract.json,outputs/powerbi-premium-usp-layer/capabilities/measure_benchmark_engine/execution_recipe.md,outputs/powerbi-premium-usp-layer/capabilities/measure_benchmark_engine/evidence_contract.json
ai_report_critic_designer_scoring,AI Report Critic / Designer Scoring,design-qa,outputs/powerbi-premium-usp-layer/capabilities/ai_report_critic_designer_scoring/premium_contract.json,outputs/powerbi-premium-usp-layer/capabilities/ai_report_critic_designer_scoring/execution_recipe.md,outputs/powerbi-premium-usp-layer/capabilities/ai_report_critic_designer_scoring/evidence_contract.json
natural_language_dax_explainer,Natural Language DAX Explainer,dax-explainability,outputs/powerbi-premium-usp-layer/capabilities/natural_language_dax_explainer/premium_contract.json,outputs/powerbi-premium-usp-layer/capabilities/natural_language_dax_explainer/execution_recipe.md,outputs/powerbi-premium-usp-layer/capabilities/natural_language_dax_explainer/evidence_contract.json
what_if_scenario_generator,What-if Scenario Generator,simulation,outputs/powerbi-premium-usp-layer/capabilities/what_if_scenario_generator/premium_contract.json,outputs/powerbi-premium-usp-layer/capabilities/what_if_scenario_generator/execution_recipe.md,outputs/powerbi-premium-usp-layer/capabilities/what_if_scenario_generator/evidence_contract.json
action_recommendation_engine,Action Recommendation Engine,action-ai,outputs/powerbi-premium-usp-layer/capabilities/action_recommendation_engine/premium_contract.json,outputs/powerbi-premium-usp-layer/capabilities/action_recommendation_engine/execution_recipe.md,outputs/powerbi-premium-usp-layer/capabilities/action_recommendation_engine/evidence_contract.json
value_case_calculator,Value Case Calculator,value-management,outputs/powerbi-premium-usp-layer/capabilities/value_case_calculator/premium_contract.json,outputs/powerbi-premium-usp-layer/capabilities/value_case_calculator/execution_recipe.md,outputs/powerbi-premium-usp-layer/capabilities/value_case_calculator/evidence_contract.json
tenant_readiness_scanner,Tenant Readiness Scanner,tenant-governance,outputs/powerbi-premium-usp-layer/capabilities/tenant_readiness_scanner/premium_contract.json,outputs/powerbi-premium-usp-layer/capabilities/tenant_readiness_scanner/execution_recipe.md,outputs/powerbi-premium-usp-layer/capabilities/tenant_readiness_scanner/evidence_contract.json
deployment_pipeline_generator,Deployment Pipeline Generator,release-automation,outputs/powerbi-premium-usp-layer/capabilities/deployment_pipeline_generator/premium_contract.json,outputs/powerbi-premium-usp-layer/capabilities/deployment_pipeline_generator/execution_recipe.md,outputs/powerbi-premium-usp-layer/capabilities/deployment_pipeline_generator/evidence_contract.json
data_contract_generator,Data Contract Generator,data-contracts,outputs/powerbi-premium-usp-layer/capabilities/data_contract_generator/premium_contract.json,outputs/powerbi-premium-usp-layer/capabilities/data_contract_generator/execution_recipe.md,outputs/powerbi-premium-usp-layer/capabilities/data_contract_generator/evidence_contract.json
multi_agent_bi_sprint_orchestrator,Multi-Agent BI Sprint Orchestrator,agent-orchestration,outputs/powerbi-premium-usp-layer/capabilities/multi_agent_bi_sprint_orchestrator/premium_contract.json,outputs/powerbi-premium-usp-layer/capabilities/multi_agent_bi_sprint_orchestrator/execution_recipe.md,outputs/powerbi-premium-usp-layer/capabilities/multi_agent_bi_sprint_orchestrator/evidence_contract.json
report_portfolio_rationalizer,Report Portfolio Rationalizer,portfolio-optimization,outputs/powerbi-premium-usp-layer/capabilities/report_portfolio_rationalizer/premium_contract.json,outputs/powerbi-premium-usp-layer/capabilities/report_portfolio_rationalizer/execution_recipe.md,outputs/powerbi-premium-usp-layer/capabilities/report_portfolio_rationalizer/evidence_contract.json
process_pack_marketplace_ui,Process Pack Marketplace UI,marketplace-ui,outputs/powerbi-premium-usp-layer/capabilities/process_pack_marketplace_ui/premium_contract.json,outputs/powerbi-premium-usp-layer/capabilities/process_pack_marketplace_ui/execution_recipe.md,outputs/powerbi-premium-usp-layer/capabilities/process_pack_marketplace_ui/evidence_contract.json
industry_compliance_packs,Industry Compliance Packs,compliance,outputs/powerbi-premium-usp-layer/capabilities/industry_compliance_packs/premium_contract.json,outputs/powerbi-premium-usp-layer/capabilities/industry_compliance_packs/execution_recipe.md,outputs/powerbi-premium-usp-layer/capabilities/industry_compliance_packs/evidence_contract.json
automated_documentation_publisher,Automated Documentation Publisher,documentation-automation,outputs/powerbi-premium-usp-layer/capabilities/automated_documentation_publisher/premium_contract.json,outputs/powerbi-premium-usp-layer/capabilities/automated_documentation_publisher/execution_recipe.md,outputs/powerbi-premium-usp-layer/capabilities/automated_documentation_publisher/evidence_contract.json
fabric_lakehouse_warehouse_scaffold,Fabric Lakehouse/Warehouse Scaffold,fabric-architecture,outputs/powerbi-premium-usp-layer/capabilities/fabric_lakehouse_warehouse_scaffold/premium_contract.json,outputs/powerbi-premium-usp-layer/capabilities/fabric_lakehouse_warehouse_scaffold/execution_recipe.md,outputs/powerbi-premium-usp-layer/capabilities/fabric_lakehouse_warehouse_scaffold/evidence_contract.json
