ProcessID,ProcessName,CaseID,CaseName,Domain,OwnerRole,OwnerName,Region,PlantID,BusinessPartner,CurrentStage,StartDate,TargetDate,ActualOrForecastDate,TargetCycleDays,ActualCycleDays,SlaBreached,RootCause,ProjectValue,RiskScore,ActionRequired
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00011,Customer Project,Projects,Project-to-Cash Process Owner,Sara Novak,AMER,DE10,Zenith Precision,Milestone Achieved,2025-11-15,2025-11-18,2025-11-18,3,3,False,,33284.46,11,True
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00012,Customer Project,Projects,Project-to-Cash Process Owner,Alex Chen,EMEA,SG10,Euro Logistics,Engineering Released,2025-05-26,2025-05-31,2025-05-29,5,3,False,Quality hold,203018.65,56,False
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00013,Customer Project,Projects,Project-to-Cash Process Owner,Priya Rao,APAC,DE10,Summit Supply,Milestone Achieved,2025-03-10,2025-04-09,2025-03-30,30,20,False,,687064.8,39,False
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00014,Customer Project,Projects,Project-to-Cash Process Owner,Sara Novak,EMEA,PL10,Summit Supply,Billed,2025-06-28,2025-07-03,2025-07-03,5,5,False,Capacity constraint,747498.89,45,False
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00015,Customer Project,Projects,Project-to-Cash Process Owner,Sara Novak,AMER,DE10,Euro Logistics,Cash Collected,2025-04-27,2025-05-04,2025-05-04,7,7,False,Capacity constraint,142549.91,50,False
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00016,Customer Project,Projects,Project-to-Cash Process Owner,Kenji Tanaka,EMEA,PL10,Zenith Precision,Milestone Achieved,2025-06-25,2025-07-05,2025-07-06,10,11,True,System integration gap,159738.65,34,True
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00017,Customer Project,Projects,Project-to-Cash Process Owner,Priya Rao,APAC,DE20,Zenith Precision,Cash Collected,2026-02-06,2026-02-11,2026-02-09,5,3,False,,475550.97,72,False
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00018,Customer Project,Projects,Project-to-Cash Process Owner,Priya Rao,AMER,DE10,Euro Logistics,Milestone Achieved,2025-06-28,2025-07-05,2025-07-09,7,11,True,Quality hold,718420.28,66,True
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00019,Customer Project,Projects,Project-to-Cash Process Owner,Jon Miller,AMER,US10,Pacific Electronics,Milestone Achieved,2025-05-24,2025-05-27,2025-05-25,3,1,False,,157390.36,22,False
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00020,Customer Project,Projects,Project-to-Cash Process Owner,Sara Novak,APAC,US10,Euro Logistics,Engineering Released,2025-03-10,2025-03-31,2025-04-03,21,24,True,Capacity constraint,500850.49,5,True
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00021,Customer Project,Projects,Project-to-Cash Process Owner,Jon Miller,EMEA,SG10,Summit Supply,Project Created,2026-03-20,2026-03-23,2026-03-23,3,3,False,,368062.66,29,False
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00022,Customer Project,Projects,Project-to-Cash Process Owner,Maria Garcia,AMER,DE10,Zenith Precision,Project Created,2025-09-14,2025-09-28,2025-10-04,14,20,True,Quality hold,687801.82,48,True
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00023,Customer Project,Projects,Project-to-Cash Process Owner,Priya Rao,EMEA,DE10,Meyer Metals,Engineering Released,2026-03-23,2026-04-06,2026-03-31,14,8,False,,453734.52,59,False
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00024,Customer Project,Projects,Project-to-Cash Process Owner,Jon Miller,APAC,PL10,Zenith Precision,Engineering Released,2025-10-19,2025-11-02,2025-10-30,14,11,False,,309664.31,54,True
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00025,Customer Project,Projects,Project-to-Cash Process Owner,Jon Miller,AMER,DE20,Summit Supply,Project Created,2025-01-15,2025-01-25,2025-01-20,10,5,False,,300116.1,90,False
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00026,Customer Project,Projects,Project-to-Cash Process Owner,Sara Novak,APAC,DE10,Meyer Metals,Project Created,2025-03-13,2025-04-12,2025-04-11,30,29,False,,69644.12,86,True
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00027,Customer Project,Projects,Project-to-Cash Process Owner,Kenji Tanaka,AMER,DE20,Euro Logistics,Project Created,2025-08-25,2025-09-08,2025-09-09,14,15,True,Missing master data,149625.66,74,True
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00028,Customer Project,Projects,Project-to-Cash Process Owner,Jon Miller,AMER,SG10,Euro Logistics,Cash Collected,2025-08-31,2025-09-07,2025-09-11,7,11,True,Capacity constraint,381649.67,59,True
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00029,Customer Project,Projects,Project-to-Cash Process Owner,Alex Chen,EMEA,SG10,Zenith Precision,Billed,2025-12-02,2025-12-23,2025-12-21,21,19,False,,501027.98,78,False
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00030,Customer Project,Projects,Project-to-Cash Process Owner,Jon Miller,AMER,SG10,Pacific Electronics,Billed,2025-11-22,2025-12-22,2025-12-13,30,21,False,Supplier delay,160524.12,62,True
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00031,Customer Project,Projects,Project-to-Cash Process Owner,Sara Novak,EMEA,DE20,Meyer Metals,Cash Collected,2025-09-03,2025-09-08,2025-09-09,5,6,True,Capacity constraint,653674.09,61,True
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00032,Customer Project,Projects,Project-to-Cash Process Owner,Priya Rao,EMEA,SG10,Pacific Electronics,Engineering Released,2025-01-12,2025-01-22,2025-01-25,10,13,True,Pricing exception,85713.49,73,True
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00033,Customer Project,Projects,Project-to-Cash Process Owner,Maria Garcia,AMER,PL10,Zenith Precision,Engineering Released,2026-02-27,2026-03-29,2026-04-02,30,34,True,System integration gap,75804.36,49,True
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00034,Customer Project,Projects,Project-to-Cash Process Owner,Priya Rao,AMER,PL10,Summit Supply,Engineering Released,2025-01-18,2025-01-25,2025-01-21,7,3,False,,299184.92,87,True
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00035,Customer Project,Projects,Project-to-Cash Process Owner,Nina Patel,EMEA,PL10,Euro Logistics,Billed,2026-01-25,2026-02-04,2026-02-01,10,7,False,,570165.24,19,False
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00036,Customer Project,Projects,Project-to-Cash Process Owner,Sara Novak,APAC,DE10,Meyer Metals,Project Created,2026-01-05,2026-01-10,2026-01-11,5,6,True,Approval delay,709262.31,23,True
