ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
project2cash,Engineer2Order / Project2Cash,2025-01,Milestone Adherence,23.44,28.69,1.43,Red,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-08,Project Margin,33.22,34.83,1.74,Amber,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-08,WIP Value,25.39,26.19,1.31,Amber,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-08,Billing Readiness,7.74,10.19,0.51,Red,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-08,Cash Exposure,38.55,39.19,1.96,Amber,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-09,Milestone Adherence,13.31,16.24,0.81,Red,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-09,Project Margin,43.98,52.09,2.6,Red,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-09,WIP Value,20.87,24.22,1.21,Red,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-09,Billing Readiness,42.66,42.47,2.12,Green,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-09,Cash Exposure,34.11,42.71,2.14,Red,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-10,Milestone Adherence,50.15,59.37,2.97,Red,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-10,Project Margin,9.74,12.52,0.63,Red,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-10,WIP Value,33.75,35.85,1.79,Amber,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-10,Billing Readiness,53.64,57.12,2.86,Amber,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-10,Cash Exposure,40.52,44.87,2.24,Amber,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-11,Milestone Adherence,52.73,49.71,2.49,Green,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-11,Project Margin,8.51,11.05,0.55,Red,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-11,WIP Value,25.59,32.86,1.64,Red,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-11,Billing Readiness,12.59,12.85,0.64,Amber,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-11,Cash Exposure,43.43,56.24,2.81,Red,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-12,Milestone Adherence,43.8,48.44,2.42,Amber,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-12,Project Margin,15.98,20.74,1.04,Red,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-12,WIP Value,32.54,33.25,1.66,Amber,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-12,Billing Readiness,41.76,44.85,2.24,Amber,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-12,Cash Exposure,11.03,14.6,0.73,Red,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
