ProcessID,ProcessName,CaseID,CaseName,Domain,OwnerRole,OwnerName,Region,PlantID,BusinessPartner,CurrentStage,StartDate,TargetDate,ActualOrForecastDate,TargetCycleDays,ActualCycleDays,SlaBreached,RootCause,DowntimeCost,RiskScore,ActionRequired
maintain2operate,Maintain2Operate,MAINTAIN2OPERATE-00025,Work Order,Maintenance,Maintenance Process Owner,Thomas Weber,APAC,PL10,Euro Logistics,Asset Released,2025-01-24,2025-02-14,2025-03-07,21,42,True,Supplier delay,444997.44,86,True
maintain2operate,Maintain2Operate,MAINTAIN2OPERATE-00026,Work Order,Maintenance,Maintenance Process Owner,Thomas Weber,APAC,DE10,Meyer Metals,Notification Created,2026-03-15,2026-03-22,2026-03-20,7,5,False,Missing master data,321088.09,47,False
maintain2operate,Maintain2Operate,MAINTAIN2OPERATE-00027,Work Order,Maintenance,Maintenance Process Owner,Thomas Weber,AMER,PL10,Pacific Electronics,Notification Created,2025-03-06,2025-03-16,2025-03-19,10,13,True,Pricing exception,657506.51,47,True
maintain2operate,Maintain2Operate,MAINTAIN2OPERATE-00028,Work Order,Maintenance,Maintenance Process Owner,Sara Novak,APAC,PL10,Pacific Electronics,Work Order Planned,2025-02-28,2025-03-14,2025-03-11,14,11,False,Pricing exception,23928.68,17,False
maintain2operate,Maintain2Operate,MAINTAIN2OPERATE-00029,Work Order,Maintenance,Maintenance Process Owner,Jon Miller,EMEA,DE20,Meyer Metals,Parts Available,2026-03-22,2026-03-29,2026-03-27,7,5,False,,392078.55,16,False
maintain2operate,Maintain2Operate,MAINTAIN2OPERATE-00030,Work Order,Maintenance,Maintenance Process Owner,Nina Patel,EMEA,DE10,Euro Logistics,Notification Created,2025-10-14,2025-10-17,2025-10-16,3,2,False,,446170.15,29,False
maintain2operate,Maintain2Operate,MAINTAIN2OPERATE-00031,Work Order,Maintenance,Maintenance Process Owner,Thomas Weber,AMER,DE10,Zenith Precision,Work Order Planned,2025-12-11,2026-01-01,2026-01-19,21,39,True,Pricing exception,231529.86,83,True
maintain2operate,Maintain2Operate,MAINTAIN2OPERATE-00032,Work Order,Maintenance,Maintenance Process Owner,Sara Novak,AMER,PL10,Pacific Electronics,Asset Released,2025-08-19,2025-09-09,2025-08-31,21,12,False,,337559.04,6,False
maintain2operate,Maintain2Operate,MAINTAIN2OPERATE-00033,Work Order,Maintenance,Maintenance Process Owner,Jon Miller,APAC,US10,Pacific Electronics,Asset Released,2025-01-28,2025-02-18,2025-02-25,21,28,True,Quality hold,384718.91,50,True
maintain2operate,Maintain2Operate,MAINTAIN2OPERATE-00034,Work Order,Maintenance,Maintenance Process Owner,Jon Miller,EMEA,SG10,Summit Supply,Notification Created,2025-12-02,2025-12-16,2025-12-13,14,11,False,,537798.64,43,False
maintain2operate,Maintain2Operate,MAINTAIN2OPERATE-00035,Work Order,Maintenance,Maintenance Process Owner,Nina Patel,APAC,SG10,Pacific Electronics,Asset Released,2025-02-14,2025-02-28,2025-03-02,14,16,True,Quality hold,9159.61,55,True
maintain2operate,Maintain2Operate,MAINTAIN2OPERATE-00036,Work Order,Maintenance,Maintenance Process Owner,Sara Novak,AMER,DE20,Pacific Electronics,Asset Released,2025-02-08,2025-02-13,2025-02-14,5,6,True,Pricing exception,725499.6,52,True
