ProcessID,ProcessName,CaseID,CaseName,Domain,OwnerRole,OwnerName,Region,PlantID,BusinessPartner,CurrentStage,StartDate,TargetDate,ActualOrForecastDate,TargetCycleDays,ActualCycleDays,SlaBreached,RootCause,DowntimeCost,RiskScore,ActionRequired
asset2reliability,Asset2Reliability,ASSET2RELIABILITY-00021,Asset Reliability Case,Maintenance,Asset Reliability Process Owner,Jon Miller,AMER,US10,Meyer Metals,Failure Detected,2025-04-23,2025-04-30,2025-05-02,7,9,True,Missing master data,449712.14,76,True
asset2reliability,Asset2Reliability,ASSET2RELIABILITY-00022,Asset Reliability Case,Maintenance,Asset Reliability Process Owner,Priya Rao,APAC,DE20,Zenith Precision,Failure Detected,2025-05-21,2025-06-20,2025-06-05,30,15,False,,485902.76,74,False
asset2reliability,Asset2Reliability,ASSET2RELIABILITY-00023,Asset Reliability Case,Maintenance,Asset Reliability Process Owner,Jon Miller,APAC,US10,Euro Logistics,Work Planned,2025-04-30,2025-05-10,2025-05-14,10,14,True,Approval delay,386170.35,21,True
asset2reliability,Asset2Reliability,ASSET2RELIABILITY-00024,Asset Reliability Case,Maintenance,Asset Reliability Process Owner,Priya Rao,APAC,PL10,Meyer Metals,Asset Monitored,2025-11-28,2025-12-19,2025-12-07,21,9,False,System integration gap,362407.68,22,False
asset2reliability,Asset2Reliability,ASSET2RELIABILITY-00025,Asset Reliability Case,Maintenance,Asset Reliability Process Owner,Sara Novak,EMEA,PL10,Pacific Electronics,Failure Detected,2025-06-21,2025-06-28,2025-07-03,7,12,True,System integration gap,649509.05,51,True
asset2reliability,Asset2Reliability,ASSET2RELIABILITY-00026,Asset Reliability Case,Maintenance,Asset Reliability Process Owner,Jon Miller,AMER,US10,Euro Logistics,Work Planned,2025-04-23,2025-04-30,2025-04-28,7,5,False,Approval delay,383075.04,72,False
asset2reliability,Asset2Reliability,ASSET2RELIABILITY-00027,Asset Reliability Case,Maintenance,Asset Reliability Process Owner,Alex Chen,APAC,DE20,Zenith Precision,Asset Monitored,2025-02-22,2025-03-04,2025-02-27,10,5,False,,492552.92,75,False
asset2reliability,Asset2Reliability,ASSET2RELIABILITY-00028,Asset Reliability Case,Maintenance,Asset Reliability Process Owner,Maria Garcia,EMEA,DE10,Meyer Metals,Asset Monitored,2025-12-29,2026-01-01,2026-01-01,3,3,False,,530009.53,26,False
asset2reliability,Asset2Reliability,ASSET2RELIABILITY-00029,Asset Reliability Case,Maintenance,Asset Reliability Process Owner,Maria Garcia,APAC,PL10,Pacific Electronics,Asset Monitored,2025-05-20,2025-05-25,2025-05-28,5,8,True,Supplier delay,745546.41,22,True
asset2reliability,Asset2Reliability,ASSET2RELIABILITY-00030,Asset Reliability Case,Maintenance,Asset Reliability Process Owner,Kenji Tanaka,APAC,US10,Zenith Precision,Asset Monitored,2025-05-08,2025-05-18,2025-05-15,10,7,False,Approval delay,149858.2,20,True
asset2reliability,Asset2Reliability,ASSET2RELIABILITY-00031,Asset Reliability Case,Maintenance,Asset Reliability Process Owner,Thomas Weber,APAC,DE20,Meyer Metals,Repair Complete,2025-03-04,2025-03-18,2025-03-24,14,20,True,Approval delay,63200.36,83,True
asset2reliability,Asset2Reliability,ASSET2RELIABILITY-00032,Asset Reliability Case,Maintenance,Asset Reliability Process Owner,Kenji Tanaka,AMER,DE20,Pacific Electronics,Asset Monitored,2025-02-23,2025-03-25,2025-03-21,30,26,False,System integration gap,502539.88,11,False
asset2reliability,Asset2Reliability,ASSET2RELIABILITY-00033,Asset Reliability Case,Maintenance,Asset Reliability Process Owner,Alex Chen,AMER,DE10,Summit Supply,Reliability Reviewed,2025-04-30,2025-05-03,2025-05-03,3,3,False,,637653.69,67,False
asset2reliability,Asset2Reliability,ASSET2RELIABILITY-00034,Asset Reliability Case,Maintenance,Asset Reliability Process Owner,Priya Rao,AMER,DE10,Meyer Metals,Reliability Reviewed,2025-07-14,2025-07-21,2025-07-23,7,9,True,Pricing exception,470937.52,75,True
asset2reliability,Asset2Reliability,ASSET2RELIABILITY-00035,Asset Reliability Case,Maintenance,Asset Reliability Process Owner,Alex Chen,AMER,US10,Meyer Metals,Work Planned,2025-04-02,2025-04-09,2025-04-11,7,9,True,Supplier delay,389353.22,66,True
asset2reliability,Asset2Reliability,ASSET2RELIABILITY-00036,Asset Reliability Case,Maintenance,Asset Reliability Process Owner,Kenji Tanaka,APAC,US10,Summit Supply,Repair Complete,2025-04-06,2025-04-27,2025-05-07,21,31,True,Quality hold,22473.87,50,True
