ProcessID,ProcessName,CaseID,CaseName,Domain,OwnerRole,OwnerName,Region,PlantID,BusinessPartner,CurrentStage,StartDate,TargetDate,ActualOrForecastDate,TargetCycleDays,ActualCycleDays,SlaBreached,RootCause,QuoteValue,RiskScore,ActionRequired
lead2quote,Lead2Quote / Configure2Quote,LEAD2QUOTE-00011,Quote,Commercial,Quote Process Owner,Alex Chen,AMER,US10,Orion Technologies,Approved,2025-08-18,2025-08-28,2025-09-07,10,20,True,Supplier delay,117369.93,21,True
lead2quote,Lead2Quote / Configure2Quote,LEAD2QUOTE-00012,Quote,Commercial,Quote Process Owner,Priya Rao,EMEA,SG10,Global Components,Configured,2026-02-26,2026-03-12,2026-03-09,14,11,False,,515874.84,16,False
lead2quote,Lead2Quote / Configure2Quote,LEAD2QUOTE-00013,Quote,Commercial,Quote Process Owner,Maria Garcia,EMEA,DE10,Atlas Systems,Need Captured,2026-01-26,2026-01-29,2026-01-28,3,2,False,,479034.9,37,False
lead2quote,Lead2Quote / Configure2Quote,LEAD2QUOTE-00014,Quote,Commercial,Quote Process Owner,Sara Novak,APAC,SG10,Atlas Systems,Approved,2025-01-11,2025-01-14,2025-01-12,3,1,False,,450896.46,90,True
lead2quote,Lead2Quote / Configure2Quote,LEAD2QUOTE-00015,Quote,Commercial,Quote Process Owner,Kenji Tanaka,AMER,DE10,Nova Mobility,Approved,2025-01-30,2025-02-20,2025-03-27,21,56,True,System integration gap,344177.05,97,True
lead2quote,Lead2Quote / Configure2Quote,LEAD2QUOTE-00016,Quote,Commercial,Quote Process Owner,Priya Rao,AMER,DE20,Global Components,Need Captured,2026-03-21,2026-03-26,2026-03-30,5,9,True,System integration gap,164261.24,5,True
lead2quote,Lead2Quote / Configure2Quote,LEAD2QUOTE-00017,Quote,Commercial,Quote Process Owner,Sara Novak,AMER,PL10,Apex Industries,Need Captured,2025-04-06,2025-04-13,2025-04-12,7,6,False,,471915.4,9,False
lead2quote,Lead2Quote / Configure2Quote,LEAD2QUOTE-00018,Quote,Commercial,Quote Process Owner,Thomas Weber,APAC,US10,Atlas Systems,Approved,2025-07-12,2025-08-02,2025-07-18,21,6,False,Capacity constraint,137433.78,67,False
lead2quote,Lead2Quote / Configure2Quote,LEAD2QUOTE-00019,Quote,Commercial,Quote Process Owner,Sara Novak,AMER,US10,Orion Technologies,Approved,2025-11-03,2025-11-08,2025-11-10,5,7,True,Pricing exception,551367.91,56,True
lead2quote,Lead2Quote / Configure2Quote,LEAD2QUOTE-00020,Quote,Commercial,Quote Process Owner,Kenji Tanaka,EMEA,DE20,Orion Technologies,Configured,2025-07-16,2025-08-06,2025-08-31,21,46,True,Approval delay,701681.85,5,True
lead2quote,Lead2Quote / Configure2Quote,LEAD2QUOTE-00021,Quote,Commercial,Quote Process Owner,Thomas Weber,AMER,US10,Nova Mobility,Quote Sent,2025-05-26,2025-06-25,2025-07-02,30,37,True,Pricing exception,683782.92,28,True
lead2quote,Lead2Quote / Configure2Quote,LEAD2QUOTE-00022,Quote,Commercial,Quote Process Owner,Nina Patel,AMER,PL10,Orion Technologies,Quote Sent,2025-10-22,2025-11-01,2025-11-07,10,16,True,System integration gap,693766.67,42,True
lead2quote,Lead2Quote / Configure2Quote,LEAD2QUOTE-00023,Quote,Commercial,Quote Process Owner,Kenji Tanaka,AMER,US10,Orion Technologies,Need Captured,2025-06-11,2025-06-18,2025-06-19,7,8,True,Approval delay,677124.54,76,True
lead2quote,Lead2Quote / Configure2Quote,LEAD2QUOTE-00024,Quote,Commercial,Quote Process Owner,Priya Rao,AMER,DE10,Atlas Systems,Approved,2026-02-11,2026-02-14,2026-02-13,3,2,False,,358442.29,22,False
lead2quote,Lead2Quote / Configure2Quote,LEAD2QUOTE-00025,Quote,Commercial,Quote Process Owner,Priya Rao,APAC,DE10,Nova Mobility,Configured,2025-12-11,2026-01-10,2026-01-21,30,41,True,Missing master data,123483.53,6,True
lead2quote,Lead2Quote / Configure2Quote,LEAD2QUOTE-00026,Quote,Commercial,Quote Process Owner,Thomas Weber,APAC,SG10,Apex Industries,Need Captured,2025-01-24,2025-01-29,2025-01-25,5,1,False,,393377.37,82,False
lead2quote,Lead2Quote / Configure2Quote,LEAD2QUOTE-00027,Quote,Commercial,Quote Process Owner,Nina Patel,APAC,DE20,Orion Technologies,Quote Sent,2025-08-31,2025-09-03,2025-09-03,3,3,False,,123595.87,99,False
lead2quote,Lead2Quote / Configure2Quote,LEAD2QUOTE-00028,Quote,Commercial,Quote Process Owner,Sara Novak,AMER,PL10,Atlas Systems,Quote Sent,2026-02-19,2026-02-24,2026-02-22,5,3,False,,618823.39,64,False
lead2quote,Lead2Quote / Configure2Quote,LEAD2QUOTE-00029,Quote,Commercial,Quote Process Owner,Priya Rao,APAC,DE10,Atlas Systems,Approved,2025-10-18,2025-10-21,2025-10-21,3,3,False,,261017.98,84,False
lead2quote,Lead2Quote / Configure2Quote,LEAD2QUOTE-00030,Quote,Commercial,Quote Process Owner,Jon Miller,APAC,DE10,Global Components,Configured,2025-03-04,2025-03-11,2025-03-09,7,5,False,,186465.7,44,False
lead2quote,Lead2Quote / Configure2Quote,LEAD2QUOTE-00031,Quote,Commercial,Quote Process Owner,Nina Patel,APAC,DE20,Orion Technologies,Approved,2025-11-19,2025-11-29,2025-11-30,10,11,True,System integration gap,380265.63,33,True
lead2quote,Lead2Quote / Configure2Quote,LEAD2QUOTE-00032,Quote,Commercial,Quote Process Owner,Nina Patel,AMER,US10,Global Components,Priced,2026-03-18,2026-04-17,2026-05-10,30,53,True,Pricing exception,59784.02,28,True
lead2quote,Lead2Quote / Configure2Quote,LEAD2QUOTE-00033,Quote,Commercial,Quote Process Owner,Alex Chen,AMER,US10,Apex Industries,Quote Sent,2025-06-06,2025-07-06,2025-07-28,30,52,True,Quality hold,122150.34,41,True
lead2quote,Lead2Quote / Configure2Quote,LEAD2QUOTE-00034,Quote,Commercial,Quote Process Owner,Priya Rao,APAC,PL10,Atlas Systems,Need Captured,2025-01-20,2025-02-19,2025-02-28,30,39,True,Capacity constraint,157772.25,59,True
lead2quote,Lead2Quote / Configure2Quote,LEAD2QUOTE-00035,Quote,Commercial,Quote Process Owner,Kenji Tanaka,APAC,PL10,Apex Industries,Configured,2025-03-22,2025-04-12,2025-05-03,21,42,True,Missing master data,476442.36,24,True
lead2quote,Lead2Quote / Configure2Quote,LEAD2QUOTE-00036,Quote,Commercial,Quote Process Owner,Priya Rao,EMEA,PL10,Nova Mobility,Priced,2025-04-30,2025-05-10,2025-05-09,10,9,False,,369810.76,83,False
