ProcessID,ProcessName,CaseID,CaseName,Domain,OwnerRole,OwnerName,Region,PlantID,BusinessPartner,CurrentStage,StartDate,TargetDate,ActualOrForecastDate,TargetCycleDays,ActualCycleDays,SlaBreached,RootCause,ContractValue,RiskScore,ActionRequired
quote2contract,Quote2Contract,QUOTE2CONTRACT-00011,Contract,Commercial,Quote-to-Contract Process Owner,Priya Rao,AMER,US10,Apex Industries,Customer Redline,2026-03-25,2026-04-04,2026-03-29,10,4,False,Supplier delay,380375.09,20,False
quote2contract,Quote2Contract,QUOTE2CONTRACT-00012,Contract,Commercial,Quote-to-Contract Process Owner,Sara Novak,APAC,DE20,Orion Technologies,Legal Review,2025-05-17,2025-05-20,2025-05-19,3,2,False,,279197.45,70,True
quote2contract,Quote2Contract,QUOTE2CONTRACT-00013,Contract,Commercial,Quote-to-Contract Process Owner,Priya Rao,AMER,US10,Global Components,Draft Created,2025-02-16,2025-03-18,2025-03-27,30,39,True,Missing master data,316095.41,8,True
quote2contract,Quote2Contract,QUOTE2CONTRACT-00014,Contract,Commercial,Quote-to-Contract Process Owner,Nina Patel,EMEA,SG10,Apex Industries,Quote Accepted,2026-02-21,2026-03-23,2026-04-19,30,57,True,Supplier delay,258747.32,5,True
quote2contract,Quote2Contract,QUOTE2CONTRACT-00015,Contract,Commercial,Quote-to-Contract Process Owner,Jon Miller,APAC,SG10,Nova Mobility,Draft Created,2025-06-02,2025-06-16,2025-06-11,14,9,False,,629135.26,42,True
quote2contract,Quote2Contract,QUOTE2CONTRACT-00016,Contract,Commercial,Quote-to-Contract Process Owner,Maria Garcia,EMEA,DE10,Global Components,Quote Accepted,2025-06-26,2025-06-29,2025-06-30,3,4,True,Supplier delay,91072.57,54,True
quote2contract,Quote2Contract,QUOTE2CONTRACT-00017,Contract,Commercial,Quote-to-Contract Process Owner,Sara Novak,AMER,SG10,Global Components,Draft Created,2025-05-22,2025-05-25,2025-05-27,3,5,True,Supplier delay,569781.57,12,True
quote2contract,Quote2Contract,QUOTE2CONTRACT-00018,Contract,Commercial,Quote-to-Contract Process Owner,Kenji Tanaka,APAC,DE20,Global Components,Legal Review,2025-04-15,2025-04-22,2025-04-19,7,4,False,Supplier delay,354340.19,13,False
quote2contract,Quote2Contract,QUOTE2CONTRACT-00019,Contract,Commercial,Quote-to-Contract Process Owner,Kenji Tanaka,AMER,PL10,Nova Mobility,Signed,2025-12-27,2026-01-01,2026-01-04,5,8,True,Pricing exception,78657.87,19,True
quote2contract,Quote2Contract,QUOTE2CONTRACT-00020,Contract,Commercial,Quote-to-Contract Process Owner,Sara Novak,AMER,SG10,Atlas Systems,Signed,2026-01-08,2026-01-15,2026-01-20,7,12,True,Approval delay,115125.16,48,True
quote2contract,Quote2Contract,QUOTE2CONTRACT-00021,Contract,Commercial,Quote-to-Contract Process Owner,Sara Novak,APAC,SG10,Orion Technologies,Legal Review,2025-03-30,2025-04-04,2025-04-04,5,5,False,,160647.16,36,False
quote2contract,Quote2Contract,QUOTE2CONTRACT-00022,Contract,Commercial,Quote-to-Contract Process Owner,Nina Patel,AMER,PL10,Atlas Systems,Signed,2025-08-19,2025-08-26,2025-08-24,7,5,False,,276371.92,75,True
quote2contract,Quote2Contract,QUOTE2CONTRACT-00023,Contract,Commercial,Quote-to-Contract Process Owner,Nina Patel,APAC,US10,Apex Industries,Signed,2025-11-21,2025-11-28,2025-11-26,7,5,False,,456674.38,9,False
quote2contract,Quote2Contract,QUOTE2CONTRACT-00024,Contract,Commercial,Quote-to-Contract Process Owner,Kenji Tanaka,APAC,DE10,Apex Industries,Signed,2025-12-13,2026-01-03,2026-01-09,21,27,True,Missing master data,259101.11,44,True
quote2contract,Quote2Contract,QUOTE2CONTRACT-00025,Contract,Commercial,Quote-to-Contract Process Owner,Alex Chen,APAC,DE10,Apex Industries,Signed,2025-10-25,2025-10-30,2025-11-01,5,7,True,Approval delay,72192.1,29,True
quote2contract,Quote2Contract,QUOTE2CONTRACT-00026,Contract,Commercial,Quote-to-Contract Process Owner,Alex Chen,AMER,PL10,Nova Mobility,Quote Accepted,2026-02-07,2026-02-12,2026-02-10,5,3,False,,198462.4,63,False
quote2contract,Quote2Contract,QUOTE2CONTRACT-00027,Contract,Commercial,Quote-to-Contract Process Owner,Jon Miller,AMER,PL10,Atlas Systems,Draft Created,2025-02-03,2025-02-13,2025-02-09,10,6,False,,38225.46,58,False
quote2contract,Quote2Contract,QUOTE2CONTRACT-00028,Contract,Commercial,Quote-to-Contract Process Owner,Maria Garcia,APAC,PL10,Global Components,Quote Accepted,2026-02-10,2026-02-15,2026-02-18,5,8,True,Quality hold,698619.7,49,True
quote2contract,Quote2Contract,QUOTE2CONTRACT-00029,Contract,Commercial,Quote-to-Contract Process Owner,Maria Garcia,EMEA,SG10,Global Components,Quote Accepted,2025-04-10,2025-04-13,2025-04-15,3,5,True,Quality hold,377233.26,42,True
quote2contract,Quote2Contract,QUOTE2CONTRACT-00030,Contract,Commercial,Quote-to-Contract Process Owner,Sara Novak,AMER,US10,Atlas Systems,Quote Accepted,2025-03-20,2025-03-27,2025-04-01,7,12,True,Pricing exception,607769.33,83,True
quote2contract,Quote2Contract,QUOTE2CONTRACT-00031,Contract,Commercial,Quote-to-Contract Process Owner,Alex Chen,APAC,PL10,Orion Technologies,Draft Created,2025-02-08,2025-03-10,2025-03-13,30,33,True,Supplier delay,601687.23,55,True
quote2contract,Quote2Contract,QUOTE2CONTRACT-00032,Contract,Commercial,Quote-to-Contract Process Owner,Thomas Weber,EMEA,SG10,Apex Industries,Quote Accepted,2025-10-22,2025-10-27,2025-10-25,5,3,False,Supplier delay,182412.85,57,True
quote2contract,Quote2Contract,QUOTE2CONTRACT-00033,Contract,Commercial,Quote-to-Contract Process Owner,Alex Chen,AMER,DE20,Apex Industries,Draft Created,2025-02-14,2025-03-16,2025-03-20,30,34,True,System integration gap,280612.16,72,True
quote2contract,Quote2Contract,QUOTE2CONTRACT-00034,Contract,Commercial,Quote-to-Contract Process Owner,Sara Novak,EMEA,PL10,Atlas Systems,Signed,2025-06-30,2025-07-05,2025-07-04,5,4,False,,662221.06,26,False
quote2contract,Quote2Contract,QUOTE2CONTRACT-00035,Contract,Commercial,Quote-to-Contract Process Owner,Maria Garcia,AMER,PL10,Global Components,Customer Redline,2025-07-21,2025-08-20,2025-08-24,30,34,True,System integration gap,650286.51,54,True
quote2contract,Quote2Contract,QUOTE2CONTRACT-00036,Contract,Commercial,Quote-to-Contract Process Owner,Sara Novak,EMEA,SG10,Orion Technologies,Quote Accepted,2025-01-23,2025-02-13,2025-01-29,21,6,False,Capacity constraint,376911.57,47,False
