ProcessID,ProcessName,CaseID,CaseName,Domain,OwnerRole,OwnerName,Region,PlantID,BusinessPartner,CurrentStage,StartDate,TargetDate,ActualOrForecastDate,TargetCycleDays,ActualCycleDays,SlaBreached,RootCause,SpendValue,RiskScore,ActionRequired
procure2pay,Procure2Pay,PROCURE2PAY-00021,Purchase Order,Procurement,Procure-to-Pay Process Owner,Thomas Weber,APAC,DE10,Meyer Metals,Goods Received,2025-08-04,2025-08-11,2025-08-10,7,6,False,,350297.87,73,False
procure2pay,Procure2Pay,PROCURE2PAY-00022,Purchase Order,Procurement,Procure-to-Pay Process Owner,Sara Novak,APAC,US10,Euro Logistics,Goods Received,2025-06-22,2025-06-29,2025-06-29,7,7,False,,320337.05,37,False
procure2pay,Procure2Pay,PROCURE2PAY-00023,Purchase Order,Procurement,Procure-to-Pay Process Owner,Kenji Tanaka,AMER,DE10,Euro Logistics,Paid,2025-12-21,2025-12-26,2025-12-29,5,8,True,System integration gap,676999.33,86,True
procure2pay,Procure2Pay,PROCURE2PAY-00024,Purchase Order,Procurement,Procure-to-Pay Process Owner,Sara Novak,AMER,PL10,Euro Logistics,Paid,2025-08-17,2025-08-27,2025-08-23,10,6,False,Quality hold,614249.72,95,True
procure2pay,Procure2Pay,PROCURE2PAY-00025,Purchase Order,Procurement,Procure-to-Pay Process Owner,Thomas Weber,APAC,PL10,Pacific Electronics,Goods Received,2025-10-03,2025-11-02,2025-10-22,30,19,False,,74028.87,23,False
procure2pay,Procure2Pay,PROCURE2PAY-00026,Purchase Order,Procurement,Procure-to-Pay Process Owner,Nina Patel,EMEA,DE20,Summit Supply,Invoice Posted,2025-02-20,2025-03-06,2025-03-15,14,23,True,System integration gap,665924.4,14,True
procure2pay,Procure2Pay,PROCURE2PAY-00027,Purchase Order,Procurement,Procure-to-Pay Process Owner,Alex Chen,AMER,SG10,Euro Logistics,Requisition Approved,2025-08-21,2025-08-26,2025-08-26,5,5,False,,721312.1,16,False
procure2pay,Procure2Pay,PROCURE2PAY-00028,Purchase Order,Procurement,Procure-to-Pay Process Owner,Sara Novak,APAC,PL10,Meyer Metals,Invoice Posted,2025-08-11,2025-08-16,2025-08-16,5,5,False,,579278.51,41,False
procure2pay,Procure2Pay,PROCURE2PAY-00029,Purchase Order,Procurement,Procure-to-Pay Process Owner,Maria Garcia,EMEA,DE10,Euro Logistics,Requisition Approved,2025-08-04,2025-08-18,2025-08-22,14,18,True,Missing master data,614860.14,31,True
procure2pay,Procure2Pay,PROCURE2PAY-00030,Purchase Order,Procurement,Procure-to-Pay Process Owner,Alex Chen,EMEA,US10,Zenith Precision,Invoice Posted,2025-01-21,2025-01-26,2025-01-26,5,5,False,,668637.97,18,True
procure2pay,Procure2Pay,PROCURE2PAY-00031,Purchase Order,Procurement,Procure-to-Pay Process Owner,Kenji Tanaka,EMEA,DE10,Zenith Precision,Requisition Approved,2026-03-13,2026-03-27,2026-04-01,14,19,True,Pricing exception,450111.47,67,True
procure2pay,Procure2Pay,PROCURE2PAY-00032,Purchase Order,Procurement,Procure-to-Pay Process Owner,Priya Rao,AMER,US10,Summit Supply,Paid,2026-01-30,2026-02-13,2026-02-22,14,23,True,Capacity constraint,739546.73,22,True
procure2pay,Procure2Pay,PROCURE2PAY-00033,Purchase Order,Procurement,Procure-to-Pay Process Owner,Sara Novak,AMER,SG10,Pacific Electronics,Invoice Posted,2025-02-15,2025-02-20,2025-02-23,5,8,True,Supplier delay,652688.25,21,True
procure2pay,Procure2Pay,PROCURE2PAY-00034,Purchase Order,Procurement,Procure-to-Pay Process Owner,Kenji Tanaka,EMEA,SG10,Zenith Precision,Paid,2026-03-06,2026-03-11,2026-03-12,5,6,True,Capacity constraint,664784.75,34,True
procure2pay,Procure2Pay,PROCURE2PAY-00035,Purchase Order,Procurement,Procure-to-Pay Process Owner,Sara Novak,EMEA,SG10,Pacific Electronics,Requisition Approved,2025-10-07,2025-10-12,2025-10-11,5,4,False,,494937.01,41,False
procure2pay,Procure2Pay,PROCURE2PAY-00036,Purchase Order,Procurement,Procure-to-Pay Process Owner,Priya Rao,AMER,PL10,Summit Supply,Invoice Posted,2025-06-10,2025-06-24,2025-06-25,14,15,True,Missing master data,203951.26,67,True
