ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
market2lead,Market2Lead,2025-01,Campaign ROI,36.26,41.58,2.08,Red,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-10,CAC,48.72,57.51,2.88,Red,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-10,Lead Velocity,24.15,28.27,1.41,Red,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-10,Qualified Pipeline,30.31,31.3,1.57,Amber,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-11,Campaign ROI,50.21,50.44,2.52,Amber,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-11,MQL Conversion,41.31,48.07,2.4,Red,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-11,CAC,18.72,23.1,1.16,Red,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-11,Lead Velocity,10.13,13.88,0.69,Red,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-11,Qualified Pipeline,22.74,26.73,1.34,Red,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-12,Campaign ROI,26.07,33.35,1.67,Red,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-12,MQL Conversion,52.62,53.47,2.67,Amber,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-12,CAC,44.84,45.55,2.28,Amber,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-12,Lead Velocity,19.65,23.18,1.16,Red,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-12,Qualified Pipeline,49.15,47.59,2.38,Green,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
