ProcessID,ProcessName,CaseID,CaseName,Domain,OwnerRole,OwnerName,Region,PlantID,BusinessPartner,CurrentStage,StartDate,TargetDate,ActualOrForecastDate,TargetCycleDays,ActualCycleDays,SlaBreached,RootCause,ShortageValue,RiskScore,ActionRequired
demand2supply,Demand2Supply,DEMAND2SUPPLY-00017,Demand-Supply Match,Supply Chain,Demand-to-Supply Process Owner,Priya Rao,AMER,SG10,Zenith Precision,Allocated,2025-11-20,2025-12-20,2025-12-09,30,19,False,,247936.71,31,False
demand2supply,Demand2Supply,DEMAND2SUPPLY-00018,Demand-Supply Match,Supply Chain,Demand-to-Supply Process Owner,Thomas Weber,AMER,DE20,Meyer Metals,Allocated,2025-05-12,2025-05-17,2025-05-17,5,5,False,,101491.48,44,False
demand2supply,Demand2Supply,DEMAND2SUPPLY-00019,Demand-Supply Match,Supply Chain,Demand-to-Supply Process Owner,Thomas Weber,AMER,DE10,Summit Supply,ATP Checked,2026-01-12,2026-01-17,2026-01-16,5,4,False,,383457.16,57,True
demand2supply,Demand2Supply,DEMAND2SUPPLY-00020,Demand-Supply Match,Supply Chain,Demand-to-Supply Process Owner,Jon Miller,AMER,US10,Zenith Precision,Allocated,2025-12-24,2026-01-03,2026-01-02,10,9,False,Approval delay,204375.43,78,False
demand2supply,Demand2Supply,DEMAND2SUPPLY-00021,Demand-Supply Match,Supply Chain,Demand-to-Supply Process Owner,Maria Garcia,EMEA,DE10,Meyer Metals,ATP Checked,2025-10-13,2025-11-12,2025-11-20,30,38,True,Missing master data,475803.96,42,True
demand2supply,Demand2Supply,DEMAND2SUPPLY-00022,Demand-Supply Match,Supply Chain,Demand-to-Supply Process Owner,Alex Chen,AMER,PL10,Zenith Precision,Demand Captured,2025-09-23,2025-09-30,2025-10-01,7,8,True,System integration gap,650878.95,95,True
demand2supply,Demand2Supply,DEMAND2SUPPLY-00023,Demand-Supply Match,Supply Chain,Demand-to-Supply Process Owner,Thomas Weber,APAC,SG10,Meyer Metals,Committed,2026-03-12,2026-04-02,2026-03-18,21,6,False,,354657.15,54,False
demand2supply,Demand2Supply,DEMAND2SUPPLY-00024,Demand-Supply Match,Supply Chain,Demand-to-Supply Process Owner,Priya Rao,APAC,SG10,Meyer Metals,Demand Captured,2025-01-28,2025-01-31,2025-02-02,3,5,True,Quality hold,706867.54,5,True
demand2supply,Demand2Supply,DEMAND2SUPPLY-00025,Demand-Supply Match,Supply Chain,Demand-to-Supply Process Owner,Thomas Weber,EMEA,DE10,Zenith Precision,Allocated,2025-07-02,2025-07-09,2025-07-08,7,6,False,Missing master data,631218.45,34,True
demand2supply,Demand2Supply,DEMAND2SUPPLY-00026,Demand-Supply Match,Supply Chain,Demand-to-Supply Process Owner,Nina Patel,EMEA,PL10,Meyer Metals,Committed,2026-03-07,2026-03-12,2026-03-14,5,7,True,System integration gap,590974.86,15,True
demand2supply,Demand2Supply,DEMAND2SUPPLY-00027,Demand-Supply Match,Supply Chain,Demand-to-Supply Process Owner,Jon Miller,AMER,US10,Euro Logistics,Demand Captured,2025-03-22,2025-04-05,2025-04-16,14,25,True,Supplier delay,446489.34,92,True
demand2supply,Demand2Supply,DEMAND2SUPPLY-00028,Demand-Supply Match,Supply Chain,Demand-to-Supply Process Owner,Priya Rao,EMEA,SG10,Summit Supply,Demand Captured,2026-03-09,2026-03-19,2026-03-22,10,13,True,Supplier delay,657245.71,67,True
demand2supply,Demand2Supply,DEMAND2SUPPLY-00029,Demand-Supply Match,Supply Chain,Demand-to-Supply Process Owner,Nina Patel,AMER,DE10,Meyer Metals,Demand Captured,2025-07-13,2025-07-23,2025-08-02,10,20,True,Capacity constraint,496460.1,62,True
demand2supply,Demand2Supply,DEMAND2SUPPLY-00030,Demand-Supply Match,Supply Chain,Demand-to-Supply Process Owner,Sara Novak,APAC,PL10,Summit Supply,Allocated,2025-02-11,2025-02-16,2025-02-15,5,4,False,,728702.03,68,False
demand2supply,Demand2Supply,DEMAND2SUPPLY-00031,Demand-Supply Match,Supply Chain,Demand-to-Supply Process Owner,Nina Patel,AMER,PL10,Zenith Precision,Committed,2025-05-08,2025-05-18,2025-05-19,10,11,True,Approval delay,14512.55,6,True
demand2supply,Demand2Supply,DEMAND2SUPPLY-00032,Demand-Supply Match,Supply Chain,Demand-to-Supply Process Owner,Sara Novak,AMER,PL10,Summit Supply,ATP Checked,2025-04-20,2025-05-20,2025-05-22,30,32,True,Missing master data,407730.59,58,True
demand2supply,Demand2Supply,DEMAND2SUPPLY-00033,Demand-Supply Match,Supply Chain,Demand-to-Supply Process Owner,Priya Rao,APAC,SG10,Meyer Metals,Allocated,2025-11-22,2025-11-25,2025-11-23,3,1,False,,396390.08,23,True
demand2supply,Demand2Supply,DEMAND2SUPPLY-00034,Demand-Supply Match,Supply Chain,Demand-to-Supply Process Owner,Kenji Tanaka,APAC,DE10,Summit Supply,Committed,2025-04-20,2025-04-25,2025-04-26,5,6,True,Quality hold,445979.17,62,True
demand2supply,Demand2Supply,DEMAND2SUPPLY-00035,Demand-Supply Match,Supply Chain,Demand-to-Supply Process Owner,Maria Garcia,APAC,DE20,Zenith Precision,ATP Checked,2025-11-19,2025-12-19,2025-12-04,30,15,False,Missing master data,584521.85,52,False
demand2supply,Demand2Supply,DEMAND2SUPPLY-00036,Demand-Supply Match,Supply Chain,Demand-to-Supply Process Owner,Maria Garcia,APAC,US10,Euro Logistics,ATP Checked,2025-12-18,2026-01-01,2026-01-07,14,20,True,Capacity constraint,735238.16,53,True
