ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
idea2launch,Idea2Launch / Engineer2Release,2025-01,Gate Adherence,22.44,25.73,1.29,Red,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-04,Engineering Cycle Time,29.79,30.55,1.53,Amber,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-05,Gate Adherence,50.1,58.44,2.92,Red,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-05,Change Backlog,22.34,29.67,1.48,Red,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-05,Launch Risk,17.08,20.07,1.0,Red,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-05,Ramp-Up Readiness,19.71,24.33,1.22,Red,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-05,Engineering Cycle Time,43.52,47.45,2.37,Amber,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-06,Gate Adherence,35.34,46.11,2.31,Red,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-06,Change Backlog,21.44,27.33,1.37,Red,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-06,Launch Risk,14.81,19.36,0.97,Red,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-06,Ramp-Up Readiness,53.16,51.75,2.59,Green,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-06,Engineering Cycle Time,48.77,52.31,2.62,Amber,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-07,Gate Adherence,37.36,42.71,2.14,Red,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-07,Change Backlog,13.32,15.59,0.78,Red,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-07,Launch Risk,22.65,27.14,1.36,Red,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-07,Ramp-Up Readiness,15.32,21.51,1.08,Red,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-07,Engineering Cycle Time,18.66,24.82,1.24,Red,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-08,Gate Adherence,11.83,15.35,0.77,Red,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-08,Change Backlog,51.2,57.77,2.89,Red,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-08,Launch Risk,35.13,43.58,2.18,Red,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-08,Ramp-Up Readiness,44.77,56.17,2.81,Red,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-08,Engineering Cycle Time,15.09,21.53,1.08,Red,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-09,Gate Adherence,52.53,55.64,2.78,Amber,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-09,Change Backlog,24.7,31.44,1.57,Red,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-09,Launch Risk,48.65,52.53,2.63,Amber,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-09,Ramp-Up Readiness,53.54,53.44,2.67,Green,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-09,Engineering Cycle Time,41.32,43.68,2.18,Amber,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-10,Gate Adherence,46.82,56.18,2.81,Red,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-10,Change Backlog,55.16,54.13,2.71,Green,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-10,Launch Risk,48.15,50.59,2.53,Amber,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-10,Ramp-Up Readiness,11.47,18.68,0.93,Red,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-10,Engineering Cycle Time,36.3,41.19,2.06,Red,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-11,Gate Adherence,49.12,51.9,2.6,Amber,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-11,Change Backlog,11.77,19.45,0.97,Red,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-11,Launch Risk,6.98,12.77,0.64,Red,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-11,Ramp-Up Readiness,36.79,36.61,1.83,Green,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-11,Engineering Cycle Time,30.93,29.82,1.49,Green,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-12,Gate Adherence,43.29,56.08,2.8,Red,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-12,Change Backlog,45.68,49.73,2.49,Amber,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-12,Launch Risk,6.05,10.84,0.54,Red,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-12,Ramp-Up Readiness,46.32,56.24,2.81,Red,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-12,Engineering Cycle Time,44.5,45.97,2.3,Amber,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
