ProcessID,ProcessName,CaseID,CaseName,Domain,OwnerRole,OwnerName,Region,PlantID,BusinessPartner,CurrentStage,StartDate,TargetDate,ActualOrForecastDate,TargetCycleDays,ActualCycleDays,SlaBreached,RootCause,CostVariance,RiskScore,ActionRequired
design2cost,Design2Cost / Design2Source,DESIGN2COST-00020,Design Item,Engineering,Design-to-Cost Process Owner,Maria Garcia,APAC,SG10,Pacific Electronics,Design Released,2025-08-20,2025-09-03,2025-08-31,14,11,False,,518231.21,91,False
design2cost,Design2Cost / Design2Source,DESIGN2COST-00021,Design Item,Engineering,Design-to-Cost Process Owner,Maria Garcia,EMEA,PL10,Meyer Metals,Concept Created,2025-09-12,2025-09-26,2025-09-19,14,7,False,,337621.76,83,False
design2cost,Design2Cost / Design2Source,DESIGN2COST-00022,Design Item,Engineering,Design-to-Cost Process Owner,Kenji Tanaka,APAC,SG10,Pacific Electronics,Supplier Checked,2025-02-20,2025-03-22,2025-03-18,30,26,False,Pricing exception,216259.39,9,False
design2cost,Design2Cost / Design2Source,DESIGN2COST-00023,Design Item,Engineering,Design-to-Cost Process Owner,Sara Novak,APAC,DE20,Zenith Precision,BOM Estimated,2026-02-10,2026-02-13,2026-02-14,3,4,True,Missing master data,66008.86,40,True
design2cost,Design2Cost / Design2Source,DESIGN2COST-00024,Design Item,Engineering,Design-to-Cost Process Owner,Thomas Weber,EMEA,DE20,Summit Supply,BOM Estimated,2026-03-20,2026-03-27,2026-03-26,7,6,False,,579803.63,18,False
design2cost,Design2Cost / Design2Source,DESIGN2COST-00025,Design Item,Engineering,Design-to-Cost Process Owner,Nina Patel,APAC,SG10,Meyer Metals,Design Released,2025-09-23,2025-09-30,2025-09-30,7,7,False,,271332.66,82,False
design2cost,Design2Cost / Design2Source,DESIGN2COST-00026,Design Item,Engineering,Design-to-Cost Process Owner,Thomas Weber,APAC,DE20,Zenith Precision,Concept Created,2025-05-26,2025-05-31,2025-05-27,5,1,False,,571344.72,54,False
design2cost,Design2Cost / Design2Source,DESIGN2COST-00027,Design Item,Engineering,Design-to-Cost Process Owner,Alex Chen,AMER,SG10,Euro Logistics,Supplier Checked,2025-04-25,2025-05-09,2025-05-13,14,18,True,Capacity constraint,682866.85,32,True
design2cost,Design2Cost / Design2Source,DESIGN2COST-00028,Design Item,Engineering,Design-to-Cost Process Owner,Priya Rao,EMEA,SG10,Zenith Precision,Supplier Checked,2025-05-17,2025-05-22,2025-05-22,5,5,False,,549745.0,44,False
design2cost,Design2Cost / Design2Source,DESIGN2COST-00029,Design Item,Engineering,Design-to-Cost Process Owner,Maria Garcia,APAC,US10,Euro Logistics,BOM Estimated,2025-07-18,2025-07-23,2025-07-21,5,3,False,,5307.77,8,False
design2cost,Design2Cost / Design2Source,DESIGN2COST-00030,Design Item,Engineering,Design-to-Cost Process Owner,Thomas Weber,AMER,DE20,Zenith Precision,Concept Created,2025-09-24,2025-10-08,2025-10-26,14,32,True,Approval delay,209242.49,96,True
design2cost,Design2Cost / Design2Source,DESIGN2COST-00031,Design Item,Engineering,Design-to-Cost Process Owner,Thomas Weber,APAC,US10,Meyer Metals,Cost Reviewed,2025-10-31,2025-11-21,2025-12-02,21,32,True,Missing master data,151001.62,45,True
design2cost,Design2Cost / Design2Source,DESIGN2COST-00032,Design Item,Engineering,Design-to-Cost Process Owner,Nina Patel,AMER,DE10,Pacific Electronics,Cost Reviewed,2025-04-01,2025-04-11,2025-04-13,10,12,True,Supplier delay,365120.62,93,True
design2cost,Design2Cost / Design2Source,DESIGN2COST-00033,Design Item,Engineering,Design-to-Cost Process Owner,Priya Rao,EMEA,PL10,Zenith Precision,Concept Created,2026-02-03,2026-02-10,2026-02-12,7,9,True,Quality hold,394266.49,68,True
design2cost,Design2Cost / Design2Source,DESIGN2COST-00034,Design Item,Engineering,Design-to-Cost Process Owner,Jon Miller,APAC,SG10,Summit Supply,Design Released,2025-10-31,2025-11-05,2025-11-05,5,5,False,,123215.56,66,False
design2cost,Design2Cost / Design2Source,DESIGN2COST-00035,Design Item,Engineering,Design-to-Cost Process Owner,Nina Patel,EMEA,DE10,Zenith Precision,Cost Reviewed,2025-08-21,2025-08-28,2025-08-28,7,7,False,,349222.96,8,False
design2cost,Design2Cost / Design2Source,DESIGN2COST-00036,Design Item,Engineering,Design-to-Cost Process Owner,Maria Garcia,EMEA,DE10,Pacific Electronics,Supplier Checked,2025-07-14,2025-08-04,2025-08-20,21,37,True,Missing master data,201225.64,84,True
