ProcessID,ProcessName,CaseID,CaseName,Domain,OwnerRole,OwnerName,Region,PlantID,BusinessPartner,CurrentStage,StartDate,TargetDate,ActualOrForecastDate,TargetCycleDays,ActualCycleDays,SlaBreached,RootCause,InboundValue,RiskScore,ActionRequired
dock2stock,Dock2Stock,DOCK2STOCK-00011,Inbound Receipt,Warehouse,Inbound Warehouse Process Owner,Jon Miller,EMEA,DE10,Euro Logistics,Goods Received,2025-06-15,2025-06-22,2025-06-20,7,5,False,Missing master data,92774.69,98,False
dock2stock,Dock2Stock,DOCK2STOCK-00012,Inbound Receipt,Warehouse,Inbound Warehouse Process Owner,Alex Chen,APAC,DE10,Pacific Electronics,ASN Received,2025-06-16,2025-06-19,2025-06-18,3,2,False,,466141.09,31,False
dock2stock,Dock2Stock,DOCK2STOCK-00013,Inbound Receipt,Warehouse,Inbound Warehouse Process Owner,Kenji Tanaka,AMER,SG10,Pacific Electronics,Goods Received,2026-02-02,2026-02-05,2026-02-05,3,3,False,,183707.19,8,False
dock2stock,Dock2Stock,DOCK2STOCK-00014,Inbound Receipt,Warehouse,Inbound Warehouse Process Owner,Alex Chen,AMER,PL10,Zenith Precision,ASN Received,2026-01-19,2026-02-09,2026-02-09,21,21,False,,632656.23,28,True
dock2stock,Dock2Stock,DOCK2STOCK-00015,Inbound Receipt,Warehouse,Inbound Warehouse Process Owner,Thomas Weber,AMER,PL10,Euro Logistics,Putaway Complete,2025-01-27,2025-02-17,2025-03-01,21,33,True,System integration gap,171631.74,46,True
dock2stock,Dock2Stock,DOCK2STOCK-00016,Inbound Receipt,Warehouse,Inbound Warehouse Process Owner,Kenji Tanaka,APAC,DE20,Pacific Electronics,Quality Released,2025-08-11,2025-08-25,2025-08-23,14,12,False,Pricing exception,692363.62,47,False
dock2stock,Dock2Stock,DOCK2STOCK-00017,Inbound Receipt,Warehouse,Inbound Warehouse Process Owner,Alex Chen,EMEA,SG10,Euro Logistics,Quality Released,2026-02-05,2026-02-12,2026-02-16,7,11,True,Approval delay,443045.85,37,True
dock2stock,Dock2Stock,DOCK2STOCK-00018,Inbound Receipt,Warehouse,Inbound Warehouse Process Owner,Sara Novak,AMER,US10,Meyer Metals,Truck Arrived,2025-08-10,2025-08-17,2025-08-22,7,12,True,Quality hold,342317.26,67,True
dock2stock,Dock2Stock,DOCK2STOCK-00019,Inbound Receipt,Warehouse,Inbound Warehouse Process Owner,Jon Miller,AMER,PL10,Pacific Electronics,Putaway Complete,2026-01-18,2026-01-21,2026-01-20,3,2,False,,602212.24,92,False
dock2stock,Dock2Stock,DOCK2STOCK-00020,Inbound Receipt,Warehouse,Inbound Warehouse Process Owner,Nina Patel,AMER,US10,Summit Supply,Putaway Complete,2025-09-04,2025-09-07,2025-09-07,3,3,False,,417972.51,7,False
dock2stock,Dock2Stock,DOCK2STOCK-00021,Inbound Receipt,Warehouse,Inbound Warehouse Process Owner,Priya Rao,APAC,SG10,Pacific Electronics,ASN Received,2025-09-02,2025-09-16,2025-09-28,14,26,True,Pricing exception,233467.11,34,True
dock2stock,Dock2Stock,DOCK2STOCK-00022,Inbound Receipt,Warehouse,Inbound Warehouse Process Owner,Kenji Tanaka,APAC,US10,Meyer Metals,ASN Received,2026-02-15,2026-03-17,2026-03-07,30,20,False,,305889.83,23,False
dock2stock,Dock2Stock,DOCK2STOCK-00023,Inbound Receipt,Warehouse,Inbound Warehouse Process Owner,Thomas Weber,EMEA,SG10,Summit Supply,Putaway Complete,2025-04-15,2025-04-25,2025-04-25,10,10,False,Capacity constraint,147904.91,69,False
dock2stock,Dock2Stock,DOCK2STOCK-00024,Inbound Receipt,Warehouse,Inbound Warehouse Process Owner,Jon Miller,APAC,DE10,Summit Supply,Quality Released,2025-03-12,2025-03-22,2025-03-27,10,15,True,Supplier delay,177363.83,42,True
dock2stock,Dock2Stock,DOCK2STOCK-00025,Inbound Receipt,Warehouse,Inbound Warehouse Process Owner,Kenji Tanaka,APAC,DE20,Euro Logistics,Truck Arrived,2025-08-14,2025-08-19,2025-08-17,5,3,False,,469002.77,19,False
dock2stock,Dock2Stock,DOCK2STOCK-00026,Inbound Receipt,Warehouse,Inbound Warehouse Process Owner,Thomas Weber,AMER,DE20,Euro Logistics,Goods Received,2025-09-07,2025-09-14,2025-09-10,7,3,False,,408001.74,83,False
dock2stock,Dock2Stock,DOCK2STOCK-00027,Inbound Receipt,Warehouse,Inbound Warehouse Process Owner,Kenji Tanaka,APAC,US10,Summit Supply,ASN Received,2025-07-10,2025-07-20,2025-07-21,10,11,True,System integration gap,302894.16,32,True
dock2stock,Dock2Stock,DOCK2STOCK-00028,Inbound Receipt,Warehouse,Inbound Warehouse Process Owner,Alex Chen,AMER,PL10,Euro Logistics,Putaway Complete,2025-10-12,2025-11-02,2025-11-16,21,35,True,Quality hold,721160.3,36,True
dock2stock,Dock2Stock,DOCK2STOCK-00029,Inbound Receipt,Warehouse,Inbound Warehouse Process Owner,Kenji Tanaka,AMER,DE20,Euro Logistics,Truck Arrived,2025-07-22,2025-08-12,2025-08-12,21,21,False,,560464.59,77,True
dock2stock,Dock2Stock,DOCK2STOCK-00030,Inbound Receipt,Warehouse,Inbound Warehouse Process Owner,Maria Garcia,EMEA,DE10,Euro Logistics,Quality Released,2025-07-04,2025-07-14,2025-07-20,10,16,True,Missing master data,177888.85,45,True
dock2stock,Dock2Stock,DOCK2STOCK-00031,Inbound Receipt,Warehouse,Inbound Warehouse Process Owner,Nina Patel,EMEA,DE20,Euro Logistics,Goods Received,2025-04-07,2025-04-12,2025-04-10,5,3,False,,525309.16,10,False
dock2stock,Dock2Stock,DOCK2STOCK-00032,Inbound Receipt,Warehouse,Inbound Warehouse Process Owner,Maria Garcia,APAC,PL10,Zenith Precision,Putaway Complete,2025-09-30,2025-10-03,2025-10-02,3,2,False,,395727.64,84,True
dock2stock,Dock2Stock,DOCK2STOCK-00033,Inbound Receipt,Warehouse,Inbound Warehouse Process Owner,Nina Patel,EMEA,DE10,Euro Logistics,Putaway Complete,2025-10-07,2025-10-21,2025-10-24,14,17,True,Pricing exception,70750.5,53,True
dock2stock,Dock2Stock,DOCK2STOCK-00034,Inbound Receipt,Warehouse,Inbound Warehouse Process Owner,Kenji Tanaka,EMEA,DE10,Summit Supply,Putaway Complete,2025-11-19,2025-11-22,2025-11-24,3,5,True,Supplier delay,141467.7,84,True
dock2stock,Dock2Stock,DOCK2STOCK-00035,Inbound Receipt,Warehouse,Inbound Warehouse Process Owner,Jon Miller,AMER,DE10,Zenith Precision,Quality Released,2025-07-20,2025-08-19,2025-08-20,30,31,True,System integration gap,367329.6,5,True
dock2stock,Dock2Stock,DOCK2STOCK-00036,Inbound Receipt,Warehouse,Inbound Warehouse Process Owner,Alex Chen,EMEA,US10,Summit Supply,Goods Received,2025-11-29,2025-12-09,2025-12-03,10,4,False,,6381.52,53,False
