ProcessID,ProcessName,CaseID,CaseName,Domain,OwnerRole,OwnerName,Region,PlantID,BusinessPartner,CurrentStage,StartDate,TargetDate,ActualOrForecastDate,TargetCycleDays,ActualCycleDays,SlaBreached,RootCause,CommitmentValue,RiskScore,ActionRequired
make_strategy,Make2Stock / Make2Order / Engineer2Order,MAKE_STRATEGY-00011,Manufacturing Commitment,Manufacturing,Manufacturing Strategy Process Owner,Kenji Tanaka,AMER,US10,Summit Supply,Demand Assigned,2025-02-28,2025-03-03,2025-03-01,3,1,False,,154240.15,16,False
make_strategy,Make2Stock / Make2Order / Engineer2Order,MAKE_STRATEGY-00012,Manufacturing Commitment,Manufacturing,Manufacturing Strategy Process Owner,Maria Garcia,APAC,US10,Pacific Electronics,Build Started,2025-10-30,2025-11-02,2025-11-05,3,6,True,Quality hold,428999.51,81,True
make_strategy,Make2Stock / Make2Order / Engineer2Order,MAKE_STRATEGY-00013,Manufacturing Commitment,Manufacturing,Manufacturing Strategy Process Owner,Maria Garcia,AMER,US10,Summit Supply,Material Checked,2026-02-03,2026-02-17,2026-02-26,14,23,True,Quality hold,288360.51,97,True
make_strategy,Make2Stock / Make2Order / Engineer2Order,MAKE_STRATEGY-00014,Manufacturing Commitment,Manufacturing,Manufacturing Strategy Process Owner,Jon Miller,EMEA,US10,Summit Supply,Build Started,2025-11-09,2025-12-09,2025-12-02,30,23,False,System integration gap,453138.19,59,True
make_strategy,Make2Stock / Make2Order / Engineer2Order,MAKE_STRATEGY-00015,Manufacturing Commitment,Manufacturing,Manufacturing Strategy Process Owner,Alex Chen,APAC,DE20,Meyer Metals,Build Started,2025-07-28,2025-08-18,2025-08-26,21,29,True,Approval delay,190123.78,16,True
make_strategy,Make2Stock / Make2Order / Engineer2Order,MAKE_STRATEGY-00016,Manufacturing Commitment,Manufacturing,Manufacturing Strategy Process Owner,Maria Garcia,AMER,SG10,Zenith Precision,Demand Assigned,2025-04-30,2025-05-03,2025-05-03,3,3,False,,122591.36,23,False
make_strategy,Make2Stock / Make2Order / Engineer2Order,MAKE_STRATEGY-00017,Manufacturing Commitment,Manufacturing,Manufacturing Strategy Process Owner,Priya Rao,EMEA,PL10,Summit Supply,Demand Assigned,2026-03-22,2026-04-21,2026-05-11,30,50,True,Quality hold,79681.79,70,True
make_strategy,Make2Stock / Make2Order / Engineer2Order,MAKE_STRATEGY-00018,Manufacturing Commitment,Manufacturing,Manufacturing Strategy Process Owner,Maria Garcia,APAC,SG10,Euro Logistics,Demand Assigned,2025-12-04,2025-12-25,2025-12-19,21,15,False,,515699.02,9,True
make_strategy,Make2Stock / Make2Order / Engineer2Order,MAKE_STRATEGY-00019,Manufacturing Commitment,Manufacturing,Manufacturing Strategy Process Owner,Kenji Tanaka,APAC,SG10,Pacific Electronics,Strategy Selected,2025-10-24,2025-11-14,2025-11-03,21,10,False,,353756.35,63,False
make_strategy,Make2Stock / Make2Order / Engineer2Order,MAKE_STRATEGY-00020,Manufacturing Commitment,Manufacturing,Manufacturing Strategy Process Owner,Alex Chen,APAC,DE10,Summit Supply,Demand Assigned,2025-01-30,2025-03-01,2025-02-24,30,25,False,,67241.72,64,False
make_strategy,Make2Stock / Make2Order / Engineer2Order,MAKE_STRATEGY-00021,Manufacturing Commitment,Manufacturing,Manufacturing Strategy Process Owner,Maria Garcia,EMEA,PL10,Euro Logistics,Customer Commitment Met,2025-10-03,2025-10-24,2025-10-25,21,22,True,Capacity constraint,374377.59,63,True
make_strategy,Make2Stock / Make2Order / Engineer2Order,MAKE_STRATEGY-00022,Manufacturing Commitment,Manufacturing,Manufacturing Strategy Process Owner,Thomas Weber,AMER,DE20,Summit Supply,Strategy Selected,2025-10-07,2025-10-28,2025-10-20,21,13,False,,463661.08,44,False
make_strategy,Make2Stock / Make2Order / Engineer2Order,MAKE_STRATEGY-00023,Manufacturing Commitment,Manufacturing,Manufacturing Strategy Process Owner,Nina Patel,APAC,DE10,Pacific Electronics,Build Started,2026-03-13,2026-03-23,2026-03-31,10,18,True,Pricing exception,683946.25,46,True
make_strategy,Make2Stock / Make2Order / Engineer2Order,MAKE_STRATEGY-00024,Manufacturing Commitment,Manufacturing,Manufacturing Strategy Process Owner,Nina Patel,APAC,US10,Summit Supply,Customer Commitment Met,2025-05-18,2025-06-08,2025-06-07,21,20,False,,705699.54,49,False
make_strategy,Make2Stock / Make2Order / Engineer2Order,MAKE_STRATEGY-00025,Manufacturing Commitment,Manufacturing,Manufacturing Strategy Process Owner,Sara Novak,EMEA,US10,Pacific Electronics,Demand Assigned,2025-06-02,2025-06-12,2025-06-10,10,8,False,,73639.24,80,False
make_strategy,Make2Stock / Make2Order / Engineer2Order,MAKE_STRATEGY-00026,Manufacturing Commitment,Manufacturing,Manufacturing Strategy Process Owner,Sara Novak,AMER,DE10,Summit Supply,Demand Assigned,2025-08-18,2025-09-01,2025-08-25,14,7,False,Pricing exception,633283.36,65,False
make_strategy,Make2Stock / Make2Order / Engineer2Order,MAKE_STRATEGY-00027,Manufacturing Commitment,Manufacturing,Manufacturing Strategy Process Owner,Nina Patel,EMEA,SG10,Meyer Metals,Demand Assigned,2026-01-29,2026-02-01,2026-02-02,3,4,True,System integration gap,319412.74,63,True
make_strategy,Make2Stock / Make2Order / Engineer2Order,MAKE_STRATEGY-00028,Manufacturing Commitment,Manufacturing,Manufacturing Strategy Process Owner,Kenji Tanaka,AMER,SG10,Zenith Precision,Strategy Selected,2025-05-08,2025-05-11,2025-05-09,3,1,False,,674080.01,78,False
make_strategy,Make2Stock / Make2Order / Engineer2Order,MAKE_STRATEGY-00029,Manufacturing Commitment,Manufacturing,Manufacturing Strategy Process Owner,Alex Chen,EMEA,DE20,Zenith Precision,Strategy Selected,2025-01-18,2025-02-17,2025-01-31,30,13,False,,371390.07,54,False
make_strategy,Make2Stock / Make2Order / Engineer2Order,MAKE_STRATEGY-00030,Manufacturing Commitment,Manufacturing,Manufacturing Strategy Process Owner,Sara Novak,EMEA,US10,Summit Supply,Strategy Selected,2025-08-01,2025-08-04,2025-08-04,3,3,False,,643249.42,71,True
make_strategy,Make2Stock / Make2Order / Engineer2Order,MAKE_STRATEGY-00031,Manufacturing Commitment,Manufacturing,Manufacturing Strategy Process Owner,Priya Rao,EMEA,US10,Pacific Electronics,Material Checked,2025-09-20,2025-10-11,2025-10-05,21,15,False,,441399.9,89,True
make_strategy,Make2Stock / Make2Order / Engineer2Order,MAKE_STRATEGY-00032,Manufacturing Commitment,Manufacturing,Manufacturing Strategy Process Owner,Maria Garcia,AMER,DE20,Meyer Metals,Build Started,2025-09-26,2025-10-01,2025-10-01,5,5,False,Pricing exception,280720.44,92,False
make_strategy,Make2Stock / Make2Order / Engineer2Order,MAKE_STRATEGY-00033,Manufacturing Commitment,Manufacturing,Manufacturing Strategy Process Owner,Kenji Tanaka,AMER,DE10,Summit Supply,Demand Assigned,2025-10-04,2025-10-09,2025-10-11,5,7,True,Supplier delay,524066.94,6,True
make_strategy,Make2Stock / Make2Order / Engineer2Order,MAKE_STRATEGY-00034,Manufacturing Commitment,Manufacturing,Manufacturing Strategy Process Owner,Thomas Weber,APAC,DE10,Euro Logistics,Build Started,2026-02-05,2026-02-26,2026-02-24,21,19,False,,399099.09,50,False
make_strategy,Make2Stock / Make2Order / Engineer2Order,MAKE_STRATEGY-00035,Manufacturing Commitment,Manufacturing,Manufacturing Strategy Process Owner,Nina Patel,EMEA,DE10,Pacific Electronics,Build Started,2026-02-27,2026-03-04,2026-03-03,5,4,False,,535574.65,41,False
make_strategy,Make2Stock / Make2Order / Engineer2Order,MAKE_STRATEGY-00036,Manufacturing Commitment,Manufacturing,Manufacturing Strategy Process Owner,Alex Chen,EMEA,US10,Meyer Metals,Build Started,2025-10-10,2025-10-13,2025-10-13,3,3,False,Missing master data,408286.31,27,False
